word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
对	correct	duì	对 ， 我 的 名字 是 李伟	duì ， wǒ de míng zi shì Lǐwěi	That's right, my name is Li Wei.
过	to pass	guò	时间 过 得 很 快	shí jiān guò de hěn kuài	Time passes very fast.
哦	oh	ò	哦 ， 他 不 是 我 哥哥	ò ， tā bù shì wǒ gē ge	Oh, he is not my older brother.
但	but	dàn	我 想 去 ， 但 我 很 累	wǒ xiǎng qù ， dàn wǒ hěn lèi	I want to go, but I am very tired.
这样	this way	zhè yàng	他 喜欢 这样 的 水果	tā xǐ huan zhè yàng de shuǐ guǒ	He likes this kind of fruit.
这里	here	zhè lǐ	这里 的 水果 很 便宜	zhè lǐ de shuǐ guǒ hěn pián yi	The fruit here is very cheap.
这么	so, this	zhè me	他 的 孩子 为什么 这么 高	tā de hái zi wèi shén me zhè me gāo	Why is his child so tall?
死	to die	sǐ	他 的 狗 死 了	tā de gǒu sǐ le	His dog died.
那么	so, like that	nà me	他 那么 高兴	tā nà me gāoxìng	He is so happy.
干	to do	gàn	你 今天 干 什么	nǐ jīntiān gàn shénme	What are you doing today?
嘿	hey	hēi	嘿 ， 你 好 吗	hēi, nǐ hǎo ma	Hey, how are you?
话	word; talk	huà	我 不 懂 他 的 话	wǒ bù dǒng tā de huà	I don't understand his words.
而	and; but	ér	她 很 高 ， 而 他 很 矮	tā hěn gāo, ér tā hěn ǎi	She is tall, and he is short.
起来	(after a verb indicating perception or the begining of an action) 	qǐ lái	他 今天 看 起来 特别 生气	tā jīntiān kàn qǐlái tèbié shēngqì	He looks particularly angry today.
嗯	(interjection)	en	嗯 ， 我 知道 了	en, wǒ zhīdào le	Uh-huh, I understand now.
该	should	gāi	我们 该 去 商店 买 东西 了	wǒmen gāi qù shāngdiàn mǎi dōngxi le	We should go to the store to buy things.
等	to wait	děng	我 在 车站 等 你	wǒ zài chēzhàn děng nǐ	I'm waiting for you at the station.
当	to be; to act as	dāng	他 想 当 医生	tā xiǎng dāng yīshēng	He wants to be a doctor.
噢	oh	ō	噢 ， 我 明白 了	ō, wǒ míngbái le	Oh, I understand.
就是	just; exactly	jiù shì	他 就是 我 的 哥哥	tā jiùshì wǒ de gēge	He is precisely my older brother.
所有	all	suǒ yǒu	所有 的 学生 都 在 教室 里	suǒyǒu de xuésheng dōu zài jiàoshì lǐ	All of the students are in the classroom.
一下	a bit	yī xià	请 你 等 一下	qǐng nǐ děng yīxià	Please wait a moment.
也许	perhaps	yě xǔ	也许 明天 会 下雨	yěxǔ míngtiān huì xià yǔ	Perhaps it will rain tomorrow.
行	all right	xíng	我们 去 吃饭 ， 行 吗	wǒmen qù chīfàn, xíng ma	Let's go eat, okay?
嗨	hi	hāi	嗨 ， 你 最近 怎么样	hāi, nǐ zuìjìn zěnmeyàng	Hi, how have you been recently?
将	will	jiāng	飞机 将 在 十 点 起飞	fēijī jiāng zài shí diǎn qǐfēi	The plane will take off at ten o'clock.
这儿	here	zhè'er	这儿 的 天气 很 好	zhè'er de tiānqì hěn hǎo	The weather here is very good.
