word	word_meaning	word_pinyin	sentence	sentence_pinyin	sentence_meaning
才	only	cái	弟弟 才 十 岁 就 这么 高	dìdì cái shí suì jiù zhème gāo	My little brother is so tall at only ten years old.
爷爷	grandgather	yé ye	我 的 爷爷 八十 岁 了	wǒ de yéyé bāshí suìle	My grandfather is eighty years old.
奶奶	grandma	nǎi nai	我 奶奶 七十八 岁了	wǒ nǎinai qīshíbā suìle	My grandmother is seventy eight years old.
跟	with	gēn	我 跟 我 的 爷爷 和 奶奶 住 在一起	wǒ gēn wǒ de yéyé hé nǎinai zhù zài yīqǐ	I live together with my grandfather and grandmother.
年轻	young	nián qīng	他 的 儿子 还 年轻	tā de érzǐ huán niánqīng	His son is still young.
矮	short	ǎi	我 姐姐 年轻 时 很 矮	wǒ jiějiě niánqīng shí hěn ǎi	My sister was very short when she was young.
一样	same	yī yàng	我的 姐姐 和 我 一样 高	wǒ de jiějiě hé wǒ yīyàng gāo.	My sister is as tall as me.
口	mouth	kǒu	我 家 有 三 口 人 ： 我 、 我 妈妈 、 和 我 爸爸	wǒjiā yǒu sānkǒu rén: wǒ, wǒ māmā, hé wǒ bàba	There are three people in my family: me, my mother, and my father.
相同	identical	xiāng tóng	他们 两 个 哥哥 有 相同 的 眼睛	tāmen liǎng gè gēgē yǒu xiāngtóng de yǎnjīng	The two older brothers have the same eyes.
叔叔	father's younger brother	shū shu	他 是 我 的 叔叔	tā shì wǒ de shūshu	He is my uncle.
阿姨	aunt	ā yí	我 的 叔叔 和 阿姨 住 在 北京	wǒ de shūshu hé āyí zhù zài běijīng	My uncle and aunt  live in Beijing.
几乎	almost	jī hū	我 爷爷 几乎 八十 岁 了	wǒ yéyé jīhū bāshí suìle	My grandfather is almost eighty years old.
老	old	lǎo	我 爸爸 老了	wǒ bàba lǎole	My father is old.
碗	bowl	wǎn	我 想要 一碗 米饭	wǒ xiǎngyào yī wǎn mǐfàn	I want a bowl of rice.
面条	noodles	miàn tiáo	我 真的 很 喜欢 面条	wǒ zhēn de hěn xǐhuān miàntiáo	I really like noodles.
还是	or	hái shi	你 想要 一 碗 米饭 还是 面条 吗 ？	nǐ xiǎng yào yī wǎn mǐfàn háishì miàntiáo ma?	do you want a bowl of rice or noodles?
面包	bread	miàn bāo	他 喜欢 面包	tā xǐhuān miànbāo	He likes bread.
饿	to be hungry	è	我 饿 了 ， 我 就 想 吃 点 面包	wǒ èle, wǒ jiù xiǎng chī diǎn miànbāo	I'm hungry, I want to eat some bread.
饱	to eat till full	bǎo	吃完 一 碗 面 后 ， 我 觉得 很 饱	chī wán yī wǎn miàn hòu, wǒ juédé hěn bǎo	 I feel very full after eating a bowl of noodles.
分	half; divide; cents	fēn	我 十二 点 三十 分 吃 午饭	wǒ shí'èr diǎn sānshí fēn chī wǔfàn	I eat lunch at twelve thirty.
渴	thirsty	kě	我 渴了，你 有 杯 水 吗	wǒ kěle, nǐ yǒu bēi shuǐ ma	I'm thirsty, do you have a cup of water?
果汁	fruit juice	guǒ zhī	我 渴 了 ， 我 想 喝 果汁	wǒ kěle, wǒ xiǎng hē guǒzhī	I'm thirsty, I want to drink juice.
菜单	menu	cài dān	菜单 上 什么 菜 最 好吃	càidān shàng shénme cài zuì hào chī	What's the best dish on the menu?
用	to use	yòng	你 能 用 筷子 吗	nǐ néng yòng kuàizǐ ma	Can you use chopsticks?
筷子	chopsticks	kuài zi	我 会 用 筷子	wǒ huì yòng kuàizi	I can use chopsticks.
双	pair	shuāng	我 想要 一 双 筷子	wǒ xiǎng yào yīshuāng kuàizi	I would like a pair of chopsticks.
选择	to select	xuǎn zé	我 在 饭馆 的 菜单 上 选择 了 一 个 菜	wǒ zài fànguǎn de càidān shàng xuǎnzéle yī gè cài	I chose a dish from the restaurant’s menu.
城市	city	chéng shì	这个 城市 有没有 什么 好 饭馆	zhège chéngshì yǒu méiyǒu shé me hǎo fànguǎn	Are there any good restaurants in this city?
见面	to meet	jiàn miàn	我们 今晚 九 点 在 饭馆 见面	wǒmen jīnwǎn jiǔ diǎn zài fànguǎn jiànmiàn	We will meet at the restaurant tonight at nine o'clock.
决定	to decide	jué dìng	你们 决定 去 哪 家 饭馆 了 吗	nǐmen juédìng qù nǎ jiā fànguǎn ma	Have you decided which restaurant you're going to?
或者	or	huò zhě	你 想 喝 茶 或者 咖啡	nǐ xiǎng hē chá huòzhě kāfēi	Do you want tea or coffee?
只	only	zhǐ	我 只 喝 水	wǒ zhǐ hē shuǐ	I only drink water.
有名	famous	yǒu míng	那 家 餐馆 在 这个 城市 很 有名	nà jiā cānguǎn zài zhège chéngshì hěn yǒumíng	That restaurant is very famous in this city.
